halo, total_mass, baryon_mass, particle_mass, star_mass 
-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-
[689, 7339731484.55 Msun, 309056856.04 Msun, 7030674628.51 Msun, 637289010]
[690, 13132231149.1 Msun, 1462483348.33 Msun, 11669747800.7 Msun, 206567130]
[691, 8889524889.23 Msun, 25602007.6197 Msun, 8863922881.62 Msun, 0]
[692, 16478138550.3 Msun, 391360117.126 Msun, 16086778433.1 Msun, 0]
[693, 35510680722.0 Msun, 4291601544.2 Msun, 31219079177.8 Msun, 0]
[694, 25732553548.0 Msun, 4741635687.14 Msun, 20990917860.9 Msun, 0]
[695, 19356338420.8 Msun, 4648137518.62 Msun, 14708200902.1 Msun, 0]
[696, 9043434207.85 Msun, 974769119.697 Msun, 8068665088.15 Msun, 532032607]
[697, 6681485228.73 Msun, 314083257.689 Msun, 6367401971.04 Msun, 0]
[698, 14757250179.8 Msun, 1307432424.48 Msun, 13449817755.3 Msun, 570269189]
[699, 18737194783.6 Msun, 1574646781.83 Msun, 17162548001.8 Msun, 0]
[700, 30864957281.6 Msun, 2319191629.67 Msun, 28545765651.9 Msun, 0]
[701, 54662098942.3 Msun, 2456825370.49 Msun, 52205273571.8 Msun, 0]
[702, 17008939427.4 Msun, 7843220754.95 Msun, 9165718672.48 Msun, 0]
[703, 56633789756.7 Msun, 7853439424.5 Msun, 48780350332.1 Msun, 1962683758]
[704, 7847319764.07 Msun, 611522366.437 Msun, 7235797397.63 Msun, 146378729]
[705, 8533557966.17 Msun, 692807719.189 Msun, 7840750246.98 Msun, 63392982]
[706, 10815270366.0 Msun, 911326607.367 Msun, 9903943758.63 Msun, 509301937]
[707, 26387001203.4 Msun, 3385783053.65 Msun, 23001218149.7 Msun, 795014017]
[708, 5337921023.84 Msun, 69231174.5986 Msun, 5268689849.24 Msun, 0]
[709, 15475931153.8 Msun, 569682035.634 Msun, 14906249118.2 Msun, 0]
[710, 12030771546.1 Msun, 305777332.453 Msun, 11724994213.7 Msun, 0]
[711, 27397067676.5 Msun, 2695866627.1 Msun, 24701201049.4 Msun, 0]
[712, 37208426121.0 Msun, 16992156818.9 Msun, 20216269302.1 Msun, 0]
[713, 13830075971.4 Msun, 2265173543.9 Msun, 11564902427.5 Msun, 0]
[714, 10828554894.8 Msun, 1154020155.19 Msun, 9674534739.65 Msun, 237552412]
[715, 5328419265.63 Msun, 379575598.32 Msun, 4948843667.31 Msun, 0]
[716, 6787437480.43 Msun, 492989011.461 Msun, 6294448468.97 Msun, 555600939]
[717, 13301335038.5 Msun, 1743686506.46 Msun, 11557648532.0 Msun, 0]
[718, 6932959845.79 Msun, 545002453.798 Msun, 6387957391.99 Msun, 303961242]
[719, 12864208426.2 Msun, 487881876.87 Msun, 12376326549.4 Msun, 0]
[720, 17480637934.4 Msun, 1446884923.6 Msun, 16033753010.8 Msun, 1157691990]
[721, 19157705644.1 Msun, 2034463634.08 Msun, 17123242010.0 Msun, 0]
[722, 26624955941.3 Msun, 1224007021.29 Msun, 25400948920.0 Msun, 0]
[723, 6801186325.25 Msun, 172138031.33 Msun, 6629048293.92 Msun, 0]
[724, 26018502242.5 Msun, 2976081523.75 Msun, 23042420718.7 Msun, 0]
[725, 46141336157.0 Msun, 2504004679.16 Msun, 43637331477.8 Msun, 1355883302]
[726, 5181883835.03 Msun, 239227118.863 Msun, 4942656716.16 Msun, 62808949]
[727, 23353683858.1 Msun, 2053919797.41 Msun, 21299764060.7 Msun, 365187802]
[728, 7002308720.67 Msun, 599026820.203 Msun, 6403281900.46 Msun, 9394703]
[729, 13669728267.1 Msun, 1242961839.91 Msun, 12426766427.2 Msun, 0]
[730, 4935565631.71 Msun, 268181898.405 Msun, 4667383733.3 Msun, 3297614]
[731, 21471527467.5 Msun, 3849347332.51 Msun, 17622180135.0 Msun, 31820765]
[732, 54462058082.6 Msun, 3767070746.68 Msun, 50694987336.0 Msun, 601267783]
[733, 9070957101.07 Msun, 2692589939.19 Msun, 6378367161.88 Msun, 0]
[734, 6202448098.74 Msun, 477135846.443 Msun, 5725312252.3 Msun, 334147282]
[735, 5745963422.41 Msun, 250547165.725 Msun, 5495416256.69 Msun, 0]
[736, 7049687804.59 Msun, 1059036535.19 Msun, 5990651269.4 Msun, 595435757]
[737, 23614475652.5 Msun, 3775298528.38 Msun, 19839177124.1 Msun, 289926710]
[738, 4930731046.11 Msun, 225145670.157 Msun, 4705585375.95 Msun, 442822094]
