halo, total_mass, baryon_mass, particle_mass, star_mass 
-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-
[7999, 12976544.4656 Msun, 202497.730177 Msun, 12774046.7354 Msun, 0]
[8000, 11433839.122 Msun, 4428.88506435 Msun, 11429410.237 Msun, 0]
[8001, 13113001.8795 Msun, 2796.01946392 Msun, 13110205.8601 Msun, 0]
[8002, 62072319.5403 Msun, 816404.574896 Msun, 61255914.9654 Msun, 149040289308201500093577207426314141696L]
[8003, 13113244.443 Msun, 3038.58294964 Msun, 13110205.8601 Msun, 0]
[8004, 32798884.6322 Msun, 527608.668996 Msun, 32271275.9632 Msun, 0]
[8005, 13159092.6829 Msun, 48886.822842 Msun, 13110205.8601 Msun, 0]
[8006, 11968946.6223 Msun, 35297.6983945 Msun, 11933648.9239 Msun, 0]
[8007, 29345539.4671 Msun, 856712.004585 Msun, 28488827.4626 Msun, 834221097533779634712617268992798621696L]
[8008, 15712556.4641 Msun, 249236.731734 Msun, 15463319.7324 Msun, 0]
[8009, 12444755.8054 Msun, 6868.19452361 Msun, 12437887.6108 Msun, 0]
[8010, 14627221.925 Msun, 4300.00413514 Msun, 14622921.9208 Msun, 0]
[8011, 14862471.8342 Msun, 71470.3510041 Msun, 14791001.4831 Msun, 0]
[8012, 12820084.1797 Msun, 46037.4442565 Msun, 12774046.7354 Msun, 0]
[8013, 13481551.7649 Msun, 35186.7802501 Msun, 13446364.9847 Msun, 0]
[8014, 18957505.7474 Msun, 132594.768897 Msun, 18824910.9785 Msun, 0]
[8015, 19027746.4617 Msun, 34755.9208211 Msun, 18992990.5409 Msun, 0]
[8016, 12438516.1313 Msun, 628.520437948 Msun, 12437887.6108 Msun, 0]
[8017, 11766446.2534 Msun, 876.891809873 Msun, 11765569.3616 Msun, 0]
[8018, 13975305.3634 Msun, 24701.6917546 Msun, 13950603.6716 Msun, 0]
[8019, 18016332.8696 Msun, 31819.7026225 Msun, 17984513.167 Msun, 0]
[8020, 13306236.382 Msun, 27950.9595951 Msun, 13278285.4224 Msun, 0]
[8021, 12966931.4442 Msun, 24805.1464816 Msun, 12942126.2978 Msun, 0]
[8022, 16183045.6099 Msun, 47407.6282456 Msun, 16135637.9816 Msun, 0]
[8023, 12834165.5772 Msun, 60118.8417532 Msun, 12774046.7354 Msun, 0]
[8024, 16663646.1378 Msun, 23769.469301 Msun, 16639876.6685 Msun, 0]
[8025, 13896009.5568 Msun, 113485.447464 Msun, 13782524.1093 Msun, 0]
